"protein__id","group","replicate","variable","value"
"ACQ42006.1","Cefotaxime","1","lqf",27.8062
"ACQ42006.1","Cefotaxime","2","lqf",24.3875
"ACQ42006.1","Cefotaxime","3","lqf",26.3394
"ACQ42006.1","Impipenem","1","lqf",27.3815
"ACQ42006.1","Impipenem","2","lqf",27.5245
"ACQ42006.1","Impipenem","3","lqf",24.3834
"ACQ42006.1","Ciprofloxacin","1","lqf",25.9224
"ACQ42006.1","Ciprofloxacin","2","lqf",24.5747
"ACQ42006.1","Ciprofloxacin","3","lqf",22.792
"ACQ42006.1","Control","1","lqf",27.0206
"ACQ42006.1","Control","2","lqf",27.3275
"ACQ42006.1","Control","3","lqf",27.1247
"ACQ42024.1","Ampicillin","1","lqf",28.2335
"ACQ42024.1","Ampicillin","2","lqf",26.5797
"ACQ42024.1","Ampicillin","3","lqf",29.0626
"ACQ42024.1","Cefotaxime","1","lqf",29.5706
"ACQ42024.1","Cefotaxime","2","lqf",29.117
"ACQ42024.1","Cefotaxime","3","lqf",29.6083
"ACQ42024.1","Impipenem","1","lqf",29.9096
"ACQ42024.1","Impipenem","2","lqf",30.1399
"ACQ42024.1","Impipenem","3","lqf",30.7119
"ACQ42024.1","Ciprofloxacin","1","lqf",30.3731
"ACQ42024.1","Ciprofloxacin","2","lqf",29.8435
"ACQ42024.1","Ciprofloxacin","3","lqf",29.9994
"ACQ42024.1","Control","1","lqf",27.4281
"ACQ42024.1","Control","2","lqf",29.0942
"ACQ42024.1","Control","3","lqf",28.6517
"ACQ42036.1","Ampicillin","1","lqf",26.2056
"ACQ42036.1","Ampicillin","2","lqf",26.6164
"ACQ42036.1","Ampicillin","3","lqf",26.244
"ACQ42036.1","Cefotaxime","1","lqf",26.3227
"ACQ42036.1","Cefotaxime","2","lqf",24.9143
"ACQ42036.1","Cefotaxime","3","lqf",26.348
"ACQ42036.1","Impipenem","1","lqf",26.9393
"ACQ42036.1","Impipenem","2","lqf",26.5688
"ACQ42036.1","Impipenem","3","lqf",24.3982
"ACQ42036.1","Ciprofloxacin","1","lqf",24.1375
"ACQ42036.1","Ciprofloxacin","2","lqf",24.4271
"ACQ42036.1","Ciprofloxacin","3","lqf",25.2148
"ACQ42036.1","Control","1","lqf",22.7568
"ACQ42036.1","Control","2","lqf",26.6074
"ACQ42036.1","Control","3","lqf",26.2316
"ACQ42045.1","Ampicillin","1","lqf",32.5698
"ACQ42045.1","Ampicillin","2","lqf",32.3957
"ACQ42045.1","Ampicillin","3","lqf",33.0636
"ACQ42045.1","Cefotaxime","1","lqf",32.6473
"ACQ42045.1","Cefotaxime","2","lqf",32.4935
"ACQ42045.1","Cefotaxime","3","lqf",32.7512
"ACQ42045.1","Impipenem","1","lqf",32.2604
"ACQ42045.1","Impipenem","2","lqf",32.309
"ACQ42045.1","Impipenem","3","lqf",31.972
"ACQ42045.1","Ciprofloxacin","1","lqf",32.3105
"ACQ42045.1","Ciprofloxacin","2","lqf",31.7699
"ACQ42045.1","Ciprofloxacin","3","lqf",31.3072
"ACQ42045.1","Control","1","lqf",31.7283
"ACQ42045.1","Control","2","lqf",32.2477
"ACQ42045.1","Control","3","lqf",32.3441
"ACQ42046.1","Ampicillin","1","lqf",29.7888
"ACQ42046.1","Ampicillin","2","lqf",28.4346
"ACQ42046.1","Ampicillin","3","lqf",30.8056
"ACQ42046.1","Cefotaxime","1","lqf",30.8211
"ACQ42046.1","Cefotaxime","2","lqf",30.3832
"ACQ42046.1","Cefotaxime","3","lqf",30.5672
"ACQ42046.1","Impipenem","1","lqf",30.5298
"ACQ42046.1","Impipenem","2","lqf",30.5858
"ACQ42046.1","Impipenem","3","lqf",30.8524
"ACQ42046.1","Ciprofloxacin","1","lqf",31.0511
"ACQ42046.1","Ciprofloxacin","2","lqf",30.553
"ACQ42046.1","Ciprofloxacin","3","lqf",30.4271
"ACQ42046.1","Control","1","lqf",29.1439
"ACQ42046.1","Control","2","lqf",30.4658
"ACQ42046.1","Control","3","lqf",30.0566
"ACQ42051.1","Ampicillin","1","lqf",24.3892
"ACQ42051.1","Ampicillin","2","lqf",24.1676
"ACQ42051.1","Ampicillin","3","lqf",26.8046
"ACQ42051.1","Cefotaxime","1","lqf",27.4073
"ACQ42051.1","Cefotaxime","2","lqf",27.0784
"ACQ42051.1","Cefotaxime","3","lqf",27.5011
"ACQ42051.1","Impipenem","1","lqf",26.6168
"ACQ42051.1","Impipenem","2","lqf",26.2342
"ACQ42051.1","Impipenem","3","lqf",26.6081
"ACQ42051.1","Ciprofloxacin","1","lqf",29.3371
"ACQ42051.1","Ciprofloxacin","2","lqf",27.1818
"ACQ42051.1","Ciprofloxacin","3","lqf",27.4054
"ACQ42051.1","Control","1","lqf",22.4108
"ACQ42051.1","Control","2","lqf",25.716
"ACQ42051.1","Control","3","lqf",25.179
"ACQ42056.1","Ampicillin","1","lqf",26.0653
"ACQ42056.1","Ampicillin","2","lqf",27.537
"ACQ42056.1","Ampicillin","3","lqf",23.9421
"ACQ42056.1","Cefotaxime","1","lqf",24.2024
"ACQ42056.1","Cefotaxime","2","lqf",26.7797
"ACQ42056.1","Cefotaxime","3","lqf",26.4628
"ACQ42056.1","Impipenem","1","lqf",26.5855
"ACQ42056.1","Impipenem","2","lqf",27.014
"ACQ42056.1","Impipenem","3","lqf",24.0961
"ACQ42056.1","Ciprofloxacin","1","lqf",26.3162
"ACQ42056.1","Ciprofloxacin","2","lqf",26.3356
"ACQ42056.1","Ciprofloxacin","3","lqf",26.4963
"ACQ42056.1","Control","1","lqf",26.8843
"ACQ42056.1","Control","2","lqf",26.9991
"ACQ42056.1","Control","3","lqf",26.7788
"ACQ42065.1","Ampicillin","1","lqf",25.7451
"ACQ42065.1","Ampicillin","2","lqf",25.805
"ACQ42065.1","Ampicillin","3","lqf",26.1399
"ACQ42065.1","Cefotaxime","1","lqf",25.901
"ACQ42065.1","Cefotaxime","2","lqf",24.906
"ACQ42065.1","Cefotaxime","3","lqf",26.491
"ACQ42065.1","Impipenem","1","lqf",27.3926
"ACQ42065.1","Impipenem","2","lqf",27.0308
"ACQ42065.1","Impipenem","3","lqf",26.7822
"ACQ42065.1","Ciprofloxacin","1","lqf",26.5014
"ACQ42065.1","Ciprofloxacin","2","lqf",26.5886
"ACQ42065.1","Ciprofloxacin","3","lqf",27.183
"ACQ42065.1","Control","1","lqf",26.5553
"ACQ42065.1","Control","2","lqf",27.2181
"ACQ42065.1","Control","3","lqf",27.673
"ACQ42069.1","Ampicillin","1","lqf",27.7962
"ACQ42069.1","Ampicillin","2","lqf",27.5631
"ACQ42069.1","Ampicillin","3","lqf",29.1084
"ACQ42069.1","Cefotaxime","1","lqf",28.1239
"ACQ42069.1","Cefotaxime","2","lqf",27.1317
"ACQ42069.1","Cefotaxime","3","lqf",27.7748
"ACQ42069.1","Impipenem","1","lqf",27.8415
"ACQ42069.1","Impipenem","2","lqf",28.1527
"ACQ42069.1","Impipenem","3","lqf",27.7983
"ACQ42069.1","Ciprofloxacin","1","lqf",27.451
"ACQ42069.1","Ciprofloxacin","2","lqf",25.1019
"ACQ42069.1","Ciprofloxacin","3","lqf",22.5707
"ACQ42069.1","Control","1","lqf",27.6875
"ACQ42069.1","Control","2","lqf",27.5329
"ACQ42069.1","Control","3","lqf",27.0963
"ACQ42094.1","Ampicillin","1","lqf",27.5113
"ACQ42094.1","Ampicillin","2","lqf",29.3733
"ACQ42094.1","Ampicillin","3","lqf",24.3489
"ACQ42094.1","Cefotaxime","1","lqf",28.8541
"ACQ42094.1","Cefotaxime","2","lqf",26.5868
"ACQ42094.1","Cefotaxime","3","lqf",28.229
"ACQ42094.1","Impipenem","1","lqf",30.4183
"ACQ42094.1","Impipenem","2","lqf",29.732
"ACQ42094.1","Impipenem","3","lqf",27.5389
"ACQ42094.1","Ciprofloxacin","1","lqf",30.065
"ACQ42094.1","Ciprofloxacin","2","lqf",27.8094
"ACQ42094.1","Ciprofloxacin","3","lqf",28.3936
"ACQ42094.1","Control","1","lqf",28.7644
"ACQ42094.1","Control","2","lqf",29.1652
"ACQ42094.1","Control","3","lqf",29.8941
"ACQ42102.1","Ampicillin","1","lqf",28.1648
"ACQ42102.1","Ampicillin","2","lqf",27.7603
"ACQ42102.1","Ampicillin","3","lqf",28.1694
"ACQ42102.1","Cefotaxime","1","lqf",28.5553
"ACQ42102.1","Cefotaxime","2","lqf",27.5161
"ACQ42102.1","Cefotaxime","3","lqf",28.3311
"ACQ42102.1","Impipenem","1","lqf",29.2693
"ACQ42102.1","Impipenem","2","lqf",29.4049
"ACQ42102.1","Impipenem","3","lqf",28.6175
"ACQ42102.1","Ciprofloxacin","1","lqf",28.9625
"ACQ42102.1","Ciprofloxacin","2","lqf",28.0761
"ACQ42102.1","Ciprofloxacin","3","lqf",25.575
"ACQ42102.1","Control","1","lqf",27.1998
"ACQ42102.1","Control","2","lqf",29.2144
"ACQ42102.1","Control","3","lqf",29.1232
"ACQ42108.1","Ampicillin","1","lqf",27.0451
"ACQ42108.1","Ampicillin","2","lqf",26.2522
"ACQ42108.1","Ampicillin","3","lqf",26.0191
"ACQ42108.1","Cefotaxime","1","lqf",26.3374
"ACQ42108.1","Cefotaxime","2","lqf",26.6853
"ACQ42108.1","Cefotaxime","3","lqf",25.7975
"ACQ42108.1","Impipenem","1","lqf",26.6345
"ACQ42108.1","Impipenem","2","lqf",26.5038
"ACQ42108.1","Impipenem","3","lqf",25.6961
"ACQ42108.1","Ciprofloxacin","1","lqf",24.9328
"ACQ42108.1","Ciprofloxacin","2","lqf",25.5104
"ACQ42108.1","Ciprofloxacin","3","lqf",25.37
"ACQ42108.1","Control","1","lqf",26.6847
"ACQ42108.1","Control","2","lqf",25.8134
"ACQ42108.1","Control","3","lqf",26.0367
"ACQ42109.1","Ampicillin","1","lqf",25.3481
"ACQ42109.1","Ampicillin","2","lqf",23.5081
"ACQ42109.1","Ampicillin","3","lqf",23.099
"ACQ42109.1","Cefotaxime","1","lqf",24.2213
"ACQ42109.1","Cefotaxime","2","lqf",25.1548
"ACQ42109.1","Cefotaxime","3","lqf",24.5393
"ACQ42109.1","Impipenem","1","lqf",24.1108
"ACQ42109.1","Impipenem","2","lqf",24.0846
"ACQ42109.1","Impipenem","3","lqf",24.502
"ACQ42109.1","Ciprofloxacin","1","lqf",24.8595
"ACQ42109.1","Ciprofloxacin","2","lqf",24.2638
"ACQ42109.1","Ciprofloxacin","3","lqf",23.3394
"ACQ42109.1","Control","1","lqf",24.7231
"ACQ42109.1","Control","2","lqf",23.1891
"ACQ42109.1","Control","3","lqf",25.0646
"P00350","Ampicillin","1","lqf",32.2142
"P00350","Ampicillin","2","lqf",32.5136
"P00350","Ampicillin","3","lqf",31.9606
"P00350","Cefotaxime","1","lqf",31.6939
"P00350","Cefotaxime","2","lqf",31.6921
"P00350","Cefotaxime","3","lqf",31.6024
"P00350","Impipenem","1","lqf",31.7651
"P00350","Impipenem","2","lqf",31.9879
"P00350","Impipenem","3","lqf",31.5909
"P00350","Ciprofloxacin","1","lqf",32.5448
"P00350","Ciprofloxacin","2","lqf",32.428
"P00350","Ciprofloxacin","3","lqf",32.375
"P00350","Control","1","lqf",31.9036
"P00350","Control","2","lqf",32.0817
"P00350","Control","3","lqf",31.9427
"P00363","Ampicillin","1","lqf",26.3379
"P00363","Ampicillin","2","lqf",27.1283
"P00363","Ampicillin","3","lqf",26.9136
"P00363","Cefotaxime","1","lqf",26.0157
"P00363","Cefotaxime","2","lqf",26.1885
"P00363","Cefotaxime","3","lqf",26.4318
"P00363","Impipenem","1","lqf",26.229
"P00363","Impipenem","2","lqf",26.2888
"P00363","Impipenem","3","lqf",26.1506
"P00363","Ciprofloxacin","1","lqf",26.9108
"P00363","Ciprofloxacin","2","lqf",26.9864
"P00363","Ciprofloxacin","3","lqf",26.1002
"P00363","Control","1","lqf",26.1746
"P00363","Control","2","lqf",26.3729
"P00363","Control","3","lqf",26.6429
"P00370","Ampicillin","1","lqf",26.0673
"P00370","Ampicillin","2","lqf",26.8433
"P00370","Ampicillin","3","lqf",26.1137
"P00370","Cefotaxime","1","lqf",26.1546
"P00370","Cefotaxime","2","lqf",26.268
"P00370","Cefotaxime","3","lqf",26.8439
"P00370","Impipenem","1","lqf",27.4305
"P00370","Impipenem","2","lqf",27.3214
"P00370","Impipenem","3","lqf",26.8583
"P00370","Ciprofloxacin","1","lqf",25.8962
"P00370","Ciprofloxacin","2","lqf",26.6786
"P00370","Ciprofloxacin","3","lqf",26.1546
"P00370","Control","1","lqf",26.4738
"P00370","Control","2","lqf",27.4339
"P00370","Control","3","lqf",27.5087
"P00448","Ampicillin","1","lqf",32.0818
"P00448","Ampicillin","2","lqf",31.4953
"P00448","Ampicillin","3","lqf",32.3856
"P00448","Cefotaxime","1","lqf",31.5042
"P00448","Cefotaxime","2","lqf",32.0313
"P00448","Cefotaxime","3","lqf",31.5757
"P00448","Impipenem","1","lqf",30.972
"P00448","Impipenem","2","lqf",31.2744
"P00448","Impipenem","3","lqf",31.1848
"P00448","Ciprofloxacin","1","lqf",32.2331
"P00448","Ciprofloxacin","2","lqf",31.3613
"P00448","Ciprofloxacin","3","lqf",30.8461
"P00448","Control","1","lqf",31.2421
"P00448","Control","2","lqf",30.9513
"P00448","Control","3","lqf",31.1555
"P00452","Ampicillin","1","lqf",31.057
"P00452","Ampicillin","2","lqf",31.0482
"P00452","Ampicillin","3","lqf",29.9596
"P00452","Cefotaxime","1","lqf",30.9111
"P00452","Cefotaxime","2","lqf",29.4095
"P00452","Cefotaxime","3","lqf",30.0847
"P00452","Impipenem","1","lqf",30.5843
"P00452","Impipenem","2","lqf",30.1041
"P00452","Impipenem","3","lqf",27.952
"P00452","Ciprofloxacin","1","lqf",29.6425
"P00452","Ciprofloxacin","2","lqf",30.0981
"P00452","Ciprofloxacin","3","lqf",29.9503
"P00452","Control","1","lqf",30.9506
"P00452","Control","2","lqf",30.6902
"P00452","Control","3","lqf",29.9653
"P00490","Ampicillin","1","lqf",27.7705
"P00490","Ampicillin","2","lqf",28.5185
"P00490","Ampicillin","3","lqf",27.8268
"P00490","Cefotaxime","1","lqf",28.7185
"P00490","Cefotaxime","2","lqf",28.3362
"P00490","Cefotaxime","3","lqf",28.7322
"P00490","Impipenem","1","lqf",28.8318
"P00490","Impipenem","2","lqf",28.9341
"P00490","Impipenem","3","lqf",29.5426
"P00490","Ciprofloxacin","1","lqf",29.5902
"P00490","Ciprofloxacin","2","lqf",27.2967
"P00490","Ciprofloxacin","3","lqf",27.5543
"P00490","Control","1","lqf",28.4126
"P00490","Control","2","lqf",28.8571
"P00490","Control","3","lqf",29.3262
"P00509","Ampicillin","1","lqf",30.8351
"P00509","Ampicillin","2","lqf",31.6323
"P00509","Ampicillin","3","lqf",30.6242
"P00509","Cefotaxime","1","lqf",30.8682
"P00509","Cefotaxime","2","lqf",30.3125
"P00509","Cefotaxime","3","lqf",30.7412
"P00509","Impipenem","1","lqf",31.4152
"P00509","Impipenem","2","lqf",31.3616
"P00509","Impipenem","3","lqf",31.1776
"P00509","Ciprofloxacin","1","lqf",31.5239
"P00509","Ciprofloxacin","2","lqf",31.2324
"P00509","Ciprofloxacin","3","lqf",31.5989
"P00509","Control","1","lqf",31.3071
"P00509","Control","2","lqf",31.3582
"P00509","Control","3","lqf",31.4202
"P00579","Ampicillin","1","lqf",28.0179
"P00579","Ampicillin","2","lqf",28.0912
"P00579","Ampicillin","3","lqf",27.8584
"P00579","Cefotaxime","1","lqf",27.5956
"P00579","Cefotaxime","2","lqf",27.3071
"P00579","Cefotaxime","3","lqf",27.7038
"P00579","Impipenem","1","lqf",28.0783
"P00579","Impipenem","2","lqf",27.6766
"P00579","Impipenem","3","lqf",27.2208
"P00579","Ciprofloxacin","1","lqf",27.9402
"P00579","Ciprofloxacin","2","lqf",27.5749
"P00579","Ciprofloxacin","3","lqf",27.6615
"P00579","Control","1","lqf",28.0358
"P00579","Control","2","lqf",28.1778
"P00579","Control","3","lqf",28.2812
"P00582","Ampicillin","1","lqf",28.4115
"P00582","Ampicillin","2","lqf",29.0478
"P00582","Ampicillin","3","lqf",28.5204
"P00582","Cefotaxime","1","lqf",28.9496
"P00582","Cefotaxime","2","lqf",28.304
"P00582","Cefotaxime","3","lqf",28.7291
"P00582","Impipenem","1","lqf",28.9175
"P00582","Impipenem","2","lqf",28.8974
"P00582","Impipenem","3","lqf",28.9369
"P00582","Ciprofloxacin","1","lqf",29.1598
"P00582","Ciprofloxacin","2","lqf",29.1032
"P00582","Ciprofloxacin","3","lqf",28.9506
"P00582","Control","1","lqf",28.8186
"P00582","Control","2","lqf",28.9856
"P00582","Control","3","lqf",29.4491
"P00722","Ampicillin","1","lqf",27.0908
"P00722","Ampicillin","2","lqf",28.0951
"P00722","Ampicillin","3","lqf",26.9201
"P00722","Cefotaxime","1","lqf",28.3115
"P00722","Cefotaxime","2","lqf",26.9705
"P00722","Cefotaxime","3","lqf",28.2185
"P00722","Impipenem","1","lqf",29.2792
"P00722","Impipenem","2","lqf",29.2371
"P00722","Impipenem","3","lqf",28.7158
"P00722","Ciprofloxacin","1","lqf",30.2822
"P00722","Ciprofloxacin","2","lqf",29.1023
"P00722","Ciprofloxacin","3","lqf",28.8812
"P00722","Control","1","lqf",28.1882
"P00722","Control","2","lqf",27.8913
"P00722","Control","3","lqf",28.8033
"P00805","Ampicillin","1","lqf",32.2611
"P00805","Ampicillin","2","lqf",31.5588
"P00805","Ampicillin","3","lqf",32.5891
"P00805","Cefotaxime","1","lqf",32.0555
"P00805","Cefotaxime","2","lqf",32.5087
"P00805","Cefotaxime","3","lqf",32.3214
"P00805","Impipenem","1","lqf",31.6933
"P00805","Impipenem","2","lqf",31.8054
"P00805","Impipenem","3","lqf",31.5078
"P00805","Ciprofloxacin","1","lqf",32.1848
"P00805","Ciprofloxacin","2","lqf",31.4146
"P00805","Ciprofloxacin","3","lqf",31.3497
"P00805","Control","1","lqf",31.7622
"P00805","Control","2","lqf",31.7424
"P00805","Control","3","lqf",31.6046
"P00864","Ampicillin","1","lqf",30.8855
"P00864","Ampicillin","2","lqf",31.0644
"P00864","Ampicillin","3","lqf",30.6952
"P00864","Cefotaxime","1","lqf",30.8279
"P00864","Cefotaxime","2","lqf",30.768
"P00864","Cefotaxime","3","lqf",30.6714
"P00864","Impipenem","1","lqf",30.7557
"P00864","Impipenem","2","lqf",30.8352
"P00864","Impipenem","3","lqf",31.0268
"P00864","Ciprofloxacin","1","lqf",31.5756
"P00864","Ciprofloxacin","2","lqf",31.0041
"P00864","Ciprofloxacin","3","lqf",31.0139
"P00864","Control","1","lqf",31.066
"P00864","Control","2","lqf",31.1456
"P00864","Control","3","lqf",31.1553
"P00888","Ampicillin","1","lqf",24.3081
"P00888","Ampicillin","2","lqf",24.3566
"P00888","Ampicillin","3","lqf",23.595
"P00888","Cefotaxime","1","lqf",25.5427
"P00888","Cefotaxime","2","lqf",24.6461
"P00888","Cefotaxime","3","lqf",25.4094
"P00888","Impipenem","1","lqf",25.678
"P00888","Impipenem","2","lqf",25.4306
"P00888","Impipenem","3","lqf",25.2553
"P00888","Ciprofloxacin","1","lqf",25.9636
"P00888","Ciprofloxacin","2","lqf",24.0687
"P00888","Ciprofloxacin","3","lqf",25.3262
"P00888","Control","1","lqf",24.2634
"P00888","Control","2","lqf",26.4116
"P00888","Control","3","lqf",23.2532
"P00909","Ampicillin","1","lqf",26.2618
"P00909","Ampicillin","2","lqf",24.3727
"P00909","Ampicillin","3","lqf",25.734
"P00909","Cefotaxime","1","lqf",26.6939
"P00909","Cefotaxime","2","lqf",25.8741
"P00909","Cefotaxime","3","lqf",26.7169
"P00909","Impipenem","1","lqf",26.807
"P00909","Impipenem","2","lqf",26.6244
"P00909","Impipenem","3","lqf",26.0165
"P00909","Ciprofloxacin","1","lqf",24.2674
"P00909","Ciprofloxacin","2","lqf",24.7665
"P00909","Ciprofloxacin","3","lqf",23.1247
"P00909","Control","1","lqf",26.2282
"P00909","Control","2","lqf",26.4058
"P00909","Control","3","lqf",26.9141
"P00926","Ampicillin","1","lqf",25.9269
"P00926","Ampicillin","2","lqf",24.5659
"P00926","Ampicillin","3","lqf",25.5725
"P00926","Cefotaxime","1","lqf",26.1055
"P00926","Cefotaxime","2","lqf",26.3228
"P00926","Cefotaxime","3","lqf",25.6325
"P00926","Impipenem","1","lqf",26.1083
"P00926","Impipenem","2","lqf",25.9652
"P00926","Impipenem","3","lqf",25.3147
"P00926","Ciprofloxacin","1","lqf",25.404
"P00926","Ciprofloxacin","2","lqf",24.9754
"P00926","Ciprofloxacin","3","lqf",23.2318
"P00926","Control","1","lqf",26.4087
"P00926","Control","2","lqf",24.1457
"P00926","Control","3","lqf",25.9949
"P00934","Ampicillin","1","lqf",29.2897
"P00934","Ampicillin","2","lqf",28.8647
"P00934","Ampicillin","3","lqf",29.3842
"P00934","Cefotaxime","1","lqf",29.0775
"P00934","Cefotaxime","2","lqf",29.6199
"P00934","Cefotaxime","3","lqf",29.3698
"P00934","Impipenem","1","lqf",29.142
"P00934","Impipenem","2","lqf",29.2511
"P00934","Impipenem","3","lqf",29.4673
"P00934","Ciprofloxacin","1","lqf",29.8044
"P00934","Ciprofloxacin","2","lqf",28.8981
"P00934","Ciprofloxacin","3","lqf",28.7239
"P00934","Control","1","lqf",28.8881
"P00934","Control","2","lqf",28.8106
"P00934","Control","3","lqf",29.4618
"P00946","Ampicillin","1","lqf",29.243
"P00946","Ampicillin","2","lqf",29.4157
"P00946","Ampicillin","3","lqf",29.3692
"P00946","Cefotaxime","1","lqf",29.285
"P00946","Cefotaxime","2","lqf",29.3353
"P00946","Cefotaxime","3","lqf",29.5378
"P00946","Impipenem","1","lqf",29.072
"P00946","Impipenem","2","lqf",29.4893
"P00946","Impipenem","3","lqf",29.4088
"P00946","Ciprofloxacin","1","lqf",29.3828
"P00946","Ciprofloxacin","2","lqf",29.4351
"P00946","Ciprofloxacin","3","lqf",29.3475
"P00946","Control","1","lqf",29.323
"P00946","Control","2","lqf",28.9217
"P00946","Control","3","lqf",29.5348
"P00954","Ampicillin","1","lqf",28.6042
"P00954","Ampicillin","2","lqf",28.342
"P00954","Ampicillin","3","lqf",28.4433
"P00954","Cefotaxime","1","lqf",28.3535
"P00954","Cefotaxime","2","lqf",28.6437
"P00954","Cefotaxime","3","lqf",28.1399
"P00954","Impipenem","1","lqf",28.2993
"P00954","Impipenem","2","lqf",28.4597
"P00954","Impipenem","3","lqf",28.5441
"P00954","Ciprofloxacin","1","lqf",28.9192
"P00954","Ciprofloxacin","2","lqf",28.6363
"P00954","Ciprofloxacin","3","lqf",28.7048
"P00954","Control","1","lqf",28.393
"P00954","Control","2","lqf",28.5611
"P00954","Control","3","lqf",28.5947
"P00956","Ampicillin","1","lqf",30.5677
"P00956","Ampicillin","2","lqf",30.5348
"P00956","Ampicillin","3","lqf",30.2821
"P00956","Cefotaxime","1","lqf",30.8144
"P00956","Cefotaxime","2","lqf",30.2907
"P00956","Cefotaxime","3","lqf",30.5949
"P00956","Impipenem","1","lqf",30.5024
"P00956","Impipenem","2","lqf",30.7732
"P00956","Impipenem","3","lqf",30.9488
"P00956","Ciprofloxacin","1","lqf",30.7196
"P00956","Ciprofloxacin","2","lqf",30.9877
"P00956","Ciprofloxacin","3","lqf",31.0923
"P00956","Control","1","lqf",30.6611
"P00956","Control","2","lqf",30.6941
"P00956","Control","3","lqf",30.8174
"P00957","Ampicillin","1","lqf",30.8587
"P00957","Ampicillin","2","lqf",30.6262
"P00957","Ampicillin","3","lqf",30.6316
"P00957","Cefotaxime","1","lqf",30.6992
"P00957","Cefotaxime","2","lqf",30.4118
"P00957","Cefotaxime","3","lqf",30.5991
"P00957","Impipenem","1","lqf",30.5991
"P00957","Impipenem","2","lqf",30.7052
"P00957","Impipenem","3","lqf",30.7865
"P00957","Ciprofloxacin","1","lqf",31.0411
"P00957","Ciprofloxacin","2","lqf",30.8536
"P00957","Ciprofloxacin","3","lqf",31.1606
"P00957","Control","1","lqf",30.7234
"P00957","Control","2","lqf",30.7876
"P00957","Control","3","lqf",30.9028
"P00959","Ampicillin","1","lqf",29.7258
"P00959","Ampicillin","2","lqf",29.6627
"P00959","Ampicillin","3","lqf",29.1558
"P00959","Cefotaxime","1","lqf",29.9702
"P00959","Cefotaxime","2","lqf",29.2568
"P00959","Cefotaxime","3","lqf",29.8431
"P00959","Impipenem","1","lqf",29.6098
"P00959","Impipenem","2","lqf",30.0711
"P00959","Impipenem","3","lqf",30.0235
"P00959","Ciprofloxacin","1","lqf",30.0758
"P00959","Ciprofloxacin","2","lqf",29.7107
"P00959","Ciprofloxacin","3","lqf",30.0026
"P00959","Control","1","lqf",30.1381
"P00959","Control","2","lqf",29.9088
"P00959","Control","3","lqf",29.8296
"P00960","Ampicillin","1","lqf",27.1807
